date,High
2023-09-24,211.7757
2023-09-23,211.805
2023-09-22,212.1856
2023-09-21,215.1941
2023-09-20,217.8587
2023-09-19,219.6115
2023-09-18,220.9474
2023-09-17,216.702
2023-09-16,215.7955
2023-09-15,214.9406
2023-09-14,214.9222
2023-09-13,213.2567
2023-09-12,213.4638
2023-09-11,212.7603
2023-09-10,214.3809
2023-09-09,215.3897
2023-09-08,218.1275
2023-09-07,217.8364
2023-09-06,216.7837
2023-09-05,215.6723
2023-09-04,216.2002
2023-09-03,215.2116
2023-09-02,215.4068
2023-09-01,218.0457
2023-08-31,225.6246
2023-08-30,226.9246
2023-08-29,232.8989
2023-08-28,219.1607
2023-08-27,219.7444
2023-08-26,218.8502
2023-08-25,219.3171
2023-08-24,220.4078
2023-08-23,218.4962
2023-08-22,211.7949
2023-08-21,216.8578
2023-08-20,217.9137
2023-08-19,219.1758
2023-08-18,220.0725
2023-08-17,232.162
2023-08-16,237.1949
2023-08-15,240.5922
2023-08-14,241.1206
2023-08-13,241.6451
2023-08-12,241.211
2023-08-11,242.0343
2023-08-10,244.0528
2023-08-09,245.4614
2023-08-08,247.6525
2023-08-07,244.65
2023-08-06,245.66
2023-08-05,243.3615
2023-08-04,243.3078
2023-08-03,241.6882
2023-08-02,248.3788
2023-08-01,247.4201
2023-07-31,244.5159
2023-07-30,244.039
2023-07-29,242.9011
2023-07-28,242.9534
2023-07-27,243.0174
2023-07-26,240.4882
2023-07-25,239.8024
2023-07-24,242.9452
2023-07-23,243.879
2023-07-22,244.7896
2023-07-21,245.1191
2023-07-20,244.9026
2023-07-19,244.134
2023-07-18,246.5221
2023-07-17,244.7055
2023-07-16,251.6613
2023-07-15,252.2719
2023-07-14,261.1496
2023-07-13,256.8664
2023-07-12,249.9039
2023-07-11,248.9893
2023-07-10,245.6333
2023-07-09,236.919
2023-07-08,237.2593
2023-07-07,236.0022
2023-07-06,244.0089
2023-07-05,243.7967
2023-07-04,246.8257
2023-07-03,250.2897
2023-07-02,247.9559
2023-07-01,248.5577
2023-06-30,241.4341
2023-06-29,236.4263
2023-06-28,237.5277
2023-06-27,241.326
2023-06-26,243.0565
2023-06-25,243.6757
2023-06-24,250.3131
2023-06-23,250.255
2023-06-22,257.4489
2023-06-21,254.163
2023-06-20,249.31
2023-06-19,245.6279
2023-06-18,249.4237
2023-06-17,249.5136
2023-06-16,242.9103
2023-06-15,240.5498
2023-06-14,251.8011
2023-06-13,245.9383
2023-06-12,238.6038
2023-06-11,241.0068
2023-06-10,261.9189
2023-06-09,265.0204
2023-06-08,267.1271
2023-06-07,282.8695
2023-06-06,285.3162
2023-06-05,304.5268
2023-06-04,307.1495
2023-06-03,307.6639
2023-06-02,308.925
2023-06-01,308.5582
2023-05-31,312.1386
2023-05-30,314.6427
2023-05-29,316.7515
2023-05-28,314.6545
2023-05-27,309.574
2023-05-26,308.942
2023-05-25,307.5954
2023-05-24,314.1006
2023-05-23,315.497
2023-05-22,311.6211
2023-05-21,311.9936
2023-05-20,312.1959
2023-05-19,311.3019
2023-05-18,314.5312
2023-05-17,314.3953
2023-05-16,314.0348
2023-05-15,315.6492
2023-05-14,314.4625
2023-05-13,311.7404
2023-05-12,309.3109
2023-05-11,314.3881
2023-05-10,316.7567
2023-05-09,317.0179
2023-05-08,323.3277
2023-05-07,325.6053
2023-05-06,328.2855
2023-05-05,328.2269
2023-05-04,326.289
2023-05-03,325.8171
2023-05-02,327.7893
2023-05-01,337.4433
2023-04-30,336.5503
2023-04-29,324.2922
2023-04-28,329.7457
2023-04-27,334.8339
2023-04-26,342.4069
2023-04-25,337.08
2023-04-24,331.3339
2023-04-23,330.3273
2023-04-22,330.7964
2023-04-21,329.452
2023-04-20,325.4646
2023-04-19,342.974
2023-04-18,345.6671
2023-04-17,349.0410057
2023-04-16,349.3764429
2023-04-15,335.2772264
2023-04-14,335.2025
2023-04-13,324.7834
2023-04-12,323.077
2023-04-11,331.8526
2023-04-10,317.6984
2023-04-09,313.3032
2023-04-08,312.6395396
2023-04-07,312.7519
2023-04-06,314.1649465
2023-04-05,315.7395
2023-04-04,312.2551
2023-04-03,313.1666
2023-04-02,315.3288328
2023-04-01,317.0275
2023-03-31,318.3639
2023-03-30,317.7425
2023-03-29,319.2884
2023-03-28,314.8324
2023-03-27,327.610307
2023-03-26,328.2809735
2023-03-25,324.4758559
2023-03-24,329.9422142
2023-03-23,331.4298
2023-03-22,338.9736
2023-03-21,339.3868
2023-03-20,339.0376417
2023-03-19,340.7901214
2023-03-18,345.7865446
2023-03-17,339.7229
2023-03-16,332.4788
2023-03-15,313.6754489
2023-03-14,319.692331
2023-03-13,313.1064836
2023-03-12,289.4815297
2023-03-11,282.7199
2023-03-10,278.3985981
2023-03-09,291.2325
2023-03-08,293.3532529
2023-03-07,290.6955
2023-03-06,290.2816
2023-03-05,293.0794995
2023-03-04,291.6564507
2023-03-03,300.5543
2023-03-02,304.045
2023-03-01,306.4428
2023-02-28,305.9137
2023-02-27,309.5958
2023-02-26,310.006251
2023-02-25,303.5048
2023-02-24,311.8999
2023-02-23,314.7293682
2023-02-22,312.7193
2023-02-21,317.042
2023-02-20,319.474
2023-02-19,318.3209579
2023-02-18,318.2855
2023-02-17,316.4553
2023-02-16,325.3975
2023-02-15,317.054962
2023-02-14,300.8839452
2023-02-13,314.7585
2023-02-12,319.6239677
2023-02-11,311.572
2023-02-10,309.5033204
2023-02-09,329.8768
2023-02-08,335.6081
2023-02-07,334.0869838
2023-02-06,331.1223603
2023-02-05,337.8932257
2023-02-04,334.5749
2023-02-03,335.3193
2023-02-02,334.3296
2023-02-01,320.0867
2023-01-31,314.8192543
2023-01-30,321.0041
2023-01-29,321.2554
2023-01-28,313.1283
2023-01-27,310.9287443
2023-01-26,310.395548
2023-01-25,313.7645
2023-01-24,323.5354233
2023-01-23,308.7958
2023-01-22,311.3319997
2023-01-21,311.0205571
2023-01-20,306.5433
2023-01-19,296.5142532
2023-01-18,304.8947
2023-01-17,304.7448902
2023-01-16,308.4982
2023-01-15,306.8588
2023-01-14,315.0360439
2023-01-13,296.2848437
2023-01-12,288.971
2023-01-11,286.1836175
2023-01-10,279.6700022
2023-01-09,284.2361651
2023-01-08,275.2761398
2023-01-07,264.3951
2023-01-06,262.1790685
2023-01-05,260.7313038
2023-01-04,262.0427913
2023-01-03,247.8858496
2023-01-02,248.9111
2023-01-01,247.8074708
2022-12-31,248.727
2022-12-30,247.5942048
2022-12-29,247.7428
2022-12-28,247.7122
2022-12-27,247.6533746
2022-12-26,245.7890636
2022-12-25,247.0491
2022-12-24,246.8952012
2022-12-23,249.0694
2022-12-22,249.1922796
2022-12-21,252.3589375
2022-12-20,253.2273565
2022-12-19,253.1502395
2022-12-18,253.9691109
2022-12-17,244.3512166
2022-12-16,265.895
2022-12-15,269.7467747
2022-12-14,279.2503
2022-12-13,280.838
2022-12-12,286.6866378
2022-12-11,291.8780277
2022-12-10,290.1219108
2022-12-09,291.8859
2022-12-08,291.7869
2022-12-07,291.1068
2022-12-06,290.9062041
2022-12-05,297.1842408
2022-12-04,292.7971659
2022-12-03,294.2906
2022-12-02,293.686
2022-12-01,301.0077062
2022-11-30,305.1772
2022-11-29,305.2718299
2022-11-28,310.0517
2022-11-27,316.6470653
2022-11-26,317.101025
2022-11-25,303.9050846
2022-11-24,302.9687
2022-11-23,300.048
2022-11-22,267.4954
2022-11-21,265.3513
2022-11-20,274.3441
2022-11-19,274.8802454
2022-11-18,275.1897
2022-11-17,273.6272984
2022-11-16,280.1929
2022-11-15,282.1477768
2022-11-14,290.1465948
2022-11-13,287.6838
2022-11-12,291.7689
2022-11-11,306.3684
2022-11-10,312.6344
2022-11-09,331.3688295
2022-11-08,386.8732143
2022-11-07,343.199
2022-11-06,353.8051
2022-11-05,359.8085806
2022-11-04,357.0497383
2022-11-03,336.0288
2022-11-02,328.6013
2022-11-01,333.0175899
2022-10-31,336.1907
2022-10-30,316.7694
2022-10-29,307.4580806
2022-10-28,300.629
2022-10-27,293.1771199
2022-10-26,291.8085727
2022-10-25,289.6043
2022-10-24,277.1148
2022-10-23,277.099
2022-10-22,271.5446
2022-10-21,271.2658
2022-10-20,273.905
2022-10-19,274.3348
2022-10-18,276.0623
2022-10-17,276.1602
2022-10-16,273.835498
2022-10-15,271.9379518
2022-10-14,276.5287
2022-10-13,273.5065
2022-10-12,277.0017815
2022-10-11,274.5874072
2022-10-10,279.2021
2022-10-09,281.0738
2022-10-08,283.4245979
2022-10-07,286.9202
2022-10-06,297.528
2022-10-05,296.3214
2022-10-04,297.8200281
2022-10-03,288.710019
2022-10-02,287.4499396
2022-10-01,285.2855574
2022-09-30,289.4862
2022-09-29,285.1023
2022-09-28,283.271
2022-09-27,286.4289
2022-09-26,276.8996884
2022-09-25,279.6661274
2022-09-24,284.8344056
2022-09-23,277.6987
2022-09-22,276.6071759
2022-09-21,274.5511177
2022-09-20,272.7154226
2022-09-19,272.0297436
2022-09-18,278.1229352
2022-09-17,278.4395
2022-09-16,275.2418211
2022-09-15,279.7609309
2022-09-14,280.9347
2022-09-13,296.56888
2022-09-12,298.4433441
2022-09-11,297.2696
2022-09-10,297.5967
2022-09-09,294.244
2022-09-08,281.0429
2022-09-07,278.8909
2022-09-06,284.6820279
2022-09-05,278.9631525
2022-09-04,278.1006
2022-09-03,277.9192
2022-09-02,282.6886
2022-09-01,280.3088
2022-08-31,289.0787572
2022-08-30,290.4577
2022-08-29,285.0162944
2022-08-28,281.6409583
2022-08-27,282.8818
2022-08-26,299.6980615
2022-08-25,303.5997692
2022-08-24,298.4379293
2022-08-23,299.9817
2022-08-22,301.9007213
2022-08-21,301.891873
2022-08-20,287.681068
2022-08-19,297.8458
2022-08-18,310.2545
2022-08-17,322.9926
2022-08-16,321.0635
2022-08-15,325.7625
2022-08-14,329.7202
2022-08-13,330.8717542
2022-08-12,326.0071
2022-08-11,333.072245
2022-08-10,334.8164
2022-08-09,326.0690545
2022-08-08,331.6147145
2022-08-07,323.2714513
2022-08-06,320.0125945
2022-08-05,320.1909231
2022-08-04,311.8007567
2022-08-03,304.1844401
2022-08-02,289.8739974
2022-08-01,288.6992
2022-07-31,294.7603887
2022-07-30,298.9708
2022-07-29,299.8486664
2022-07-28,279.158355
2022-07-27,270.6890348
2022-07-26,248.4247743
2022-07-25,261.944038
2022-07-24,265.3859588
2022-07-23,271.138329
2022-07-22,270.552442
2022-07-21,265.7105
2022-07-20,271.3843
2022-07-19,273.9112
2022-07-18,263.620506
2022-07-17,254.3992801
2022-07-16,249.8979
2022-07-15,241.2724
2022-07-14,239.1985472
2022-07-13,229.6104
2022-07-12,227.6792358
2022-07-11,234.4286
2022-07-10,242.9334504
2022-07-09,244.4754758
2022-07-08,245.2722698
2022-07-07,243.1105153
2022-07-06,239.1886142
2022-07-05,235.4940429
2022-07-04,231.387
2022-07-03,219.3083
2022-07-02,219.1256974
2022-07-01,226.1642
2022-06-30,219.7907
2022-06-29,228.8611
2022-06-28,239.8296731
2022-06-27,239.9295
2022-06-26,243.7877225
2022-06-25,241.1576
2022-06-24,242.1364719
2022-06-23,229.4455
2022-06-22,220.0903178
2022-06-21,227.3556
2022-06-20,218.1466
2022-06-19,215.6725
2022-06-18,218.1368995
2022-06-17,221.485
2022-06-16,235.673849
2022-06-15,233.707789
2022-06-14,229.9756562
2022-06-13,257.2985873
2022-06-12,271.4161295
2022-06-11,289.9511
2022-06-10,296.1599031
2022-06-09,293.3240433
2022-06-08,294.1515
2022-06-07,296.1554
2022-06-06,312.1144
2022-06-05,303.0381
2022-06-04,303.2345833
2022-06-03,310.4974396
2022-06-02,309.3626574
2022-06-01,323.4379433
2022-05-31,323.6505776
2022-05-30,323.5496
2022-05-29,307.9390189
2022-05-28,309.3502416
2022-05-27,308.4530624
2022-05-26,330.599
2022-05-25,336.1072
2022-05-24,329.3971829
2022-05-23,335.6201
2022-05-22,321.9554883
2022-05-21,313.323131
2022-05-20,314.7896
2022-05-19,308.2330528
2022-05-18,308.0679171
2022-05-17,310.1993
2022-05-16,311.9575402
2022-05-15,311.9763423
2022-05-14,298.417784
2022-05-13,312.4456
2022-05-12,281.9163
2022-05-11,322.1864912
2022-05-10,331.6836958
2022-05-09,358.8995
2022-05-08,366.4456822
2022-05-07,380.0356
2022-05-06,382.494
2022-05-05,411.2169819
2022-05-04,402.7438206
2022-05-03,391.8855368
2022-05-02,392.3709429
2022-05-01,390.6865882
2022-04-30,399.3605
2022-04-29,409.9172
2022-04-28,407.918501
2022-04-27,394.3646
2022-04-26,406.7783944
2022-04-25,404.9058
2022-04-24,405.4147
2022-04-23,407.853
2022-04-22,413.3258
2022-04-21,425.559
2022-04-20,430.1198
2022-04-19,423.4132444
2022-04-18,417.3574
2022-04-17,417.3632
2022-04-16,418.31967
2022-04-15,419.4713
2022-04-14,426.1632
2022-04-13,423.5198
2022-04-12,415.9987
2022-04-11,420.1024
2022-04-10,426.7719365
2022-04-09,427.7687983
2022-04-08,440.4651167
2022-04-07,438.2713
2022-04-06,444.8439471
2022-04-05,459.5896954
2022-04-04,450.339095
2022-04-03,455.1797
2022-04-02,453.3851553
2022-04-01,446.4584632
2022-03-31,451.9386
2022-03-30,449.0208268
2022-03-29,441.4192505
2022-03-28,440.8537492
2022-03-27,430.7179376
2022-03-26,416.4672851
2022-03-25,421.2214
2022-03-24,416.5998268
2022-03-23,410.8069716
2022-03-22,409.4705693
2022-03-21,399.1359183
2022-03-20,400.7285242
2022-03-19,405.9263947
2022-03-18,399.7709
2022-03-17,392.6691684
2022-03-16,386.2868755
2022-03-15,374.1708
2022-03-14,373.7580507
2022-03-13,377.3347
2022-03-12,379.2921
2022-03-11,379.8527002
2022-03-10,394.4161225
2022-03-09,401.2064223
2022-03-08,387.4486
2022-03-07,383.9484457
2022-03-06,386.7094976
2022-03-05,385.6767
2022-03-04,402.8385357
2022-03-03,412.6151362
2022-03-02,414.9169476
