id;date;hashtags;user_verified;is_retweet;Is_old_User;user_important
80;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
81;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
82;2021-02-10;['PiNetwork', 'Bitcoin'];0;0;1;1
83;2021-02-10;['BeeNetwork', 'Bitcoin'];0;0;1;1
84;2021-02-10;['bitcoin', 'cryptocurrency', 'crypto'];0;0;1;1
85;2021-02-10;['crypto', 'Bitcoin'];0;0;1;0
86;2021-02-10;['cryptocurrency', 'bcn', 'bytecoin', 'bitcoin', 'btc', 'blockchain', 'cryptocurrency', 'cryptotrading', 'cryptocurrencies'];0;0;1;0
87;2021-02-10;['btc'];0;0;1;0
88;2021-02-10;['CRYPTOTAB', 'PASSIVEINCOME', 'CRYPTO', 'BITCOIN'];0;0;1;1
89;2021-02-10;['PRESEARCH', 'earn', 'money', 'crypto', 'WIN'];0;0;1;1
90;2021-02-10;['PUBLISH0X', 'EARN', 'ETH', 'CRYPTO'];0;0;1;1
91;2021-02-10;['DeFi', 'ETH', 'Ethereum', 'altcoins', 'AltSeason', 'Bitcoin', 'BTC', 'Uniswap'];0;0;1;1
92;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
93;2021-02-10;['crypto'];0;0;0;0
94;2021-02-10;['ROSEBTC', 'rose', 'rosebtc'];0;0;0;0
95;2021-02-10;['BCH'];0;0;1;1
96;2021-02-10;['BCH'];0;0;1;1
97;2021-02-10;['BINANCE', 'Commission', 'EXCHANGE'];0;0;1;1
98;2021-02-10;['Bitcoin', 'BTC', 'Cryptocurrencies', 'Crypto'];0;0;1;0
99;2021-02-10;['Bitcoin', 'BTC'];0;0;1;1
100;2021-02-10;['Bitcoin'];0;0;0;0
101;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
102;2021-02-10;['bitcoin', 'btc'];0;0;1;0
103;2021-02-10;['ICON', 'ICX', 'btc', 'bitcoin', 'crypto', 'pump', 'eth', 'xrp'];0;0;1;0
104;2021-02-10;['btc', 'bitcoin'];0;0;0;0
105;2021-02-10;['bitcoin', 'btc'];0;0;1;0
106;2021-02-10;['BTT', 'Binance', 'BTtUSDT', 'BTT', 'btc'];0;0;1;0
107;2021-02-10;['ROSEBTC', 'CryptoParos'];0;0;0;0
108;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
109;2021-02-10;['bitcoin', 'techprogress'];0;0;1;1
110;2021-02-10;['bitcoin', 'ethereum'];0;0;1;0
111;2021-02-10;['blockstack', 'Bitcoin', 'BTC'];0;0;1;0
112;2021-02-10;['DogeCoin', 'DogeRise', 'dogearmy', 'Btc', 'Bitcoin', 'Binance', 'Ftt', 'Ftx'];0;0;0;0
113;2021-02-10;['btc', 'bitcoin'];0;0;1;0
114;2021-02-10;['btc', 'bitcoin'];0;0;1;0
115;2021-02-10;['Bitcoin'];0;0;1;0
116;2021-02-10;['Bitcoin', 'BTC', 'Cryptocurrency', 'dogetothemoon'];0;0;1;0
117;2021-02-10;['CTSI', 'CTSIUSDT', 'Bitcoin', 'btc', 'kripto', 'coin', 'crypto'];0;0;1;0
118;2021-02-10;['btc', 'bitcoin', 'eth', 'ethereum', 'cro', 'crypto', 'airdrop', 'bnb'];0;0;1;0
119;2021-02-10;['bitcoin'];0;0;1;0
120;2021-02-10;['Bitcoin', 'BTC', 'XBT'];0;0;1;0
121;2021-02-10;['NYC'];0;0;1;0
122;2021-02-10;['bitcoin'];0;0;1;0
123;2021-02-10;['BTC'];0;0;1;0
124;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
125;2021-02-10;['bitcoin', 'redbubble', 'btc', 'balloons'];0;0;1;0
126;2021-02-10;['Twitter', 'Bitcoin'];0;0;1;0
127;2021-02-10;['btc', 'BTC'];0;0;0;0
128;2021-02-10;['ElonMusk', 'carbonfootprint', 'Vechain'];0;0;0;0
129;2021-02-10;['Bitcoin', 'BTC', 'dogecoin'];0;0;1;0
130;2021-02-10;['dogecoin', 'DOGECOIN', 'dogecoin', 'doge', 'dogecoinfrance', 'dogecoinarmy'];0;0;0;0
131;2021-02-10;['silvermanipulation', 'silver', 'wallstreetsilver', 'silversqueeze'];0;0;1;0
132;2021-02-10;['aave', 'Bitcoin', 'Bitcoin', 'ETH', 'XRP', 'US', 'UK', 'CANADA', 'CHINA', 'CH', 'RUSSIA', 'RS', 'Crypto', 'btc', 'BNB'];0;0;1;0
133;2021-02-10;['Crypto', 'Cryptoking_india', 'bitcoin', 'BTCUSD', 'btc'];0;0;1;0
134;2021-02-10;['digitalassetmanagement', 'wealthmanagement', 'venturecapital', 'cryptoassets', 'digitalassets'];0;0;1;0
135;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
136;2021-02-10;['Bitcoin', 'BTC', 'XBT'];0;0;1;0
137;2021-02-10;['EURCAD', 'BTC', 'GBPAUD', 'nflx'];0;0;1;0
138;2021-02-10;['fintwitter'];0;0;1;0
139;2021-02-10;['BITCOIN', 'BTC'];0;0;1;0
140;2021-02-10;['icx', 'icon', 'btc', 'Bitcoin', 'Ethereum', 'eth', 'Altseason2021'];0;0;1;0
